time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1731517788999974000,139.25297387695312,199.77552386838943,0.539091020822956,25.747211910619143,40.09506384450987,232.18552371580154,179.45893118128012,4.726127111826983,3.3894335154480864,-88.23006406905444,1.199242971358391
1731517789999981800,140.25298193359376,199.73402221966535,0.9624708063480778,37.01041538758639,40.09505082078541,232.14402206707746,176.95117328710148,4.725880675805003,3.3897771122658913,-88.2300613639792,1.257520565385654
1731517790999985200,141.25298510742186,200.0070725372061,0.461582750620783,26.961151243002156,40.09503738111172,232.41707238461822,175.37051626228404,4.725778253255982,3.3899199008002636,-88.23005913371864,1.1100341066046073
1731517791999980500,142.25298046875,200.06198770180345,0.9003546964437104,37.15585719609205,40.09502547321284,232.47198754921556,168.28031143478782,4.725369550402709,3.390489587790492,-88.23005307057673,1.195637862755308
1731517792999984000,143.25298413085937,200.07230988051742,1.068679351646311,30.415276853892955,40.09500700232335,232.48230972792953,169.85266746013625,4.731945552123112,3.3813057129652044,-88.23004845720189,1.6587892064255485
1731517793999984600,144.25298461914062,200.30420880112797,0.8156696419046761,36.783032586146334,40.09499858328572,232.71420864854008,168.57020316281577,4.725142463527706,3.390806059354642,-88.23004563440865,1.1392415676646306
1731517794999980500,145.25298046875,200.02033091988415,1.0969959692573144,30.08915047969168,40.09497947315266,232.43033076729625,166.62870180748925,4.732133055959341,3.381043296600287,-88.23003817939818,1.7086690867316072
1731517795999985700,146.25298559570314,199.83898474555463,0.7090969104999137,33.232817827990175,40.09497266043394,232.24898459296674,166.43323183088708,4.725467191456534,3.3903535000434295,-88.23003533966113,1.086817435536855
1731517796999991300,147.2529912109375,199.70652115065604,1.074446354806521,30.251402938622387,40.0949546471429,232.11652099806815,164.21909048546317,4.732075716457037,3.381123547950659,-88.2300264546324,1.6503599174142658
1731517797999987700,148.25298779296875,199.95278637018055,0.6115766483296967,32.07629799703242,40.094946874741915,232.36278621759266,158.97387308157977,4.725732509484637,3.3899836698115333,-88.23002075897078,1.0680457769269849
1731517798999986700,149.25298657226563,199.85822095163167,1.101996775564305,32.863180741487675,40.094930712000554,232.26822079904377,156.81228356850343,4.73099683798798,3.382632990990388,-88.23001090988056,1.55696577704149
